	X107.0_1	X107.0_2	X107.0_3	X107.15_1	X107.15_2	X107.15_3	X90.0_1	X90.0_2	X90.0_3	X90.15_1	X90.15_2	X90.15_3
Ciclev10027051m	2.00912348124432	2.27196371219559	0.92395178696382	1.75167118189108	1.29481775628908	1.90965414983854	1.24110341147974	2.01083229612688	2.36794419229128	1.70527843359944	0.895155674844995	1.85588544320271
Ciclev10027053m	0.824255787177156	1.76077187695158	1.33459702561441	0.759057512152803	0.91716257737143	1.29182486606725	1.89431573331118	1.95337994480897	2.52939493267477	2.07830809094932	2.40573087614593	2.37140917742569
Ciclev10027054m	11.9517089140688	13.4613849947589	16.990446749168	13.9549804157323	10.7901479690757	11.7949226901792	9.66754236310531	14.0758260728882	13.7233129325972	11.8303691330961	13.0357045149302	12.2179125010845
Ciclev10027055m	14.3729602889017	15.1653577789056	18.735689013433	16.8744323855508	13.3797834816538	14.490905019363	15.415810795222	16.6037295308763	17.2214123075729	13.7488073708955	15.4414353910762	16.4452071217129
Ciclev10027056m	9.272877605743	8.2926675495139	10.2661309662647	10.4516380519501	7.4452020986622	8.31261218165012	9.34093620218959	9.59454267009113	10.8710165191554	8.31323236379728	10.6859208684621	10.4135794313041
Ciclev10027060m	0.824255787177156	4.25993196036673	0.30798392898794	0.467112315170956	1.83432515474286	1.5164900601659	0.195963696549432	0.57452351317911	0.484352221150488	0.266449755249913	0.783261215489371	0.309314240533786
Ciclev10027061m	13.0850606214373	11.0190240041486	15.5018577590597	10.1013038155719	9.81903465185884	13.9854083326411	9.66754236310531	14.9376113426569	11.3553687403059	11.9369490351961	8.50397891102746	12.5787791150406
Ciclev10027064m	16.1245038366531	15.7901477997593	19.3003262165776	17.9254350946854	14.2969460590252	13.8730757355918	13.5214950619108	15.1674207479285	16.6832431729613	13.9086772240454	16.0568549175321	15.0532930393109
Ciclev10027068m	14.4244762756002	10.9622249113437	15.9638336525416	14.8308160066778	11.8691627659832	14.996401706085	18.0286600825477	17.9251336111882	18.4592013171797	21.2094005178931	15.1057520130093	17.5278069635812
Ciclev10027069m	21.9973263202903	20.9588652450043	29.1044812893603	27.9099608314646	20.2315274420168	25.6118321272463	22.4051826388184	23.4405593377077	27.984794999806	30.53514195164	27.1903536234167	28.6115672493752
